Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
011eb806f7782fc048072fabfb035b54f5d71e67,jun,2017,auto,hold,Sioux Falls,730.9285714285713,740.0,640.0,100.0,False,False,False
045e533587d8a51c00e08e459243ce7ec3cbaaf9,jun,2017,auto,hold,Rapid City,702.1428571428571,702.0,652.0,70.0,True,False,False
05b6a87c2c20aa57b357426c9107705c0bd7ec20,jun,2017,cool,auto,Sioux Falls,738.9130434782608,740.0,680.0,15.0,True,False,False
05b6a87c2c20aa57b357426c9107705c0bd7ec20,jun,2017,cool,hold,Sioux Falls,735.309523809524,747.0952380952382,740.809523809524,15.0,True,False,False
0968b16b919c5e8b72ff8de3bda124068f7f322d,jun,2017,auto,auto,Sioux Falls,748.5583657587549,752.192607003891,680.0,0.0,False,False,False
0968b16b919c5e8b72ff8de3bda124068f7f322d,jun,2017,auto,hold,Sioux Falls,726.679012345679,751.1111111111112,680.0,0.0,False,False,False
17c1dbdbd6e3202b0db49420e6fc9d36e4cac454,jun,2017,auto,auto,Sioux Falls,733.7083333333335,819.1875,640.4166666666666,5.0,False,False,False
17c1dbdbd6e3202b0db49420e6fc9d36e4cac454,jun,2017,auto,hold,Sioux Falls,738.75,761.75,674.75,5.0,False,False,False
18cd13efb32ea1f3caa01bc30656d0afbe3d1413,jun,2017,cool,auto,Sioux Falls,737.2307692307692,747.2435897435898,688.3076923076923,16.0,False,False,False
18cd13efb32ea1f3caa01bc30656d0afbe3d1413,jun,2017,cool,hold,Sioux Falls,734.2679738562091,740.0588235294118,739.6274509803923,16.0,False,False,False
20f09a9c1d296b532e398fdefb4a44700a36a621,jun,2017,auto,auto,Mitchell,714.1056338028169,740.5633802816901,710.5633802816901,40.0,False,False,False
30a50f3df07d56b578fdf38b93291e6860f389ad,jun,2017,auto,hold,Sioux Falls,703.6092592592591,722.3333333333335,643.0,45.0,False,False,False
3cb5cd50805e286cf3cd45001f0c9e54f6fed6c3,jun,2017,cool,hold,Sioux Falls,713.1843317972349,810.0,790.0,20.0,False,False,False
3ed0e9cb7b0043eaf232cd07b55d33cb67e0debe,jun,2017,cool,auto,Mitchell,695.7291666666665,690.0208333333335,710.0,15.0,True,False,True
3ed0e9cb7b0043eaf232cd07b55d33cb67e0debe,jun,2017,cool,hold,Mitchell,700.8938053097345,695.8407079646017,695.7964601769911,15.0,True,False,True
442bbae1b4d42fdbfed83178e3a7f95b0e305c58,jun,2017,cool,auto,Sioux Falls,752.6296296296298,788.1296296296298,772.2222222222223,75.0,False,False,False
442bbae1b4d42fdbfed83178e3a7f95b0e305c58,jun,2017,cool,hold,Sioux Falls,745.4058524173028,787.0814249363867,774.0279898218829,75.0,False,False,False
45a85784a761b7df6242c82ee3b01c01c9d4b647,jun,2017,cool,auto,Hayti,698.0975609756098,699.829268292683,690.0,8.0,True,False,True
45a85784a761b7df6242c82ee3b01c01c9d4b647,jun,2017,cool,hold,Hayti,689.0621062106212,687.4356435643564,687.4329432943293,8.0,True,False,True
4a2f71c8dace61eeb7806b1c4aabd4f7980dc760,jun,2017,auto,hold,Rapid City,679.6686507936507,680.0,620.0,0.0,False,False,False
4a2f71c8dace61eeb7806b1c4aabd4f7980dc760,jun,2017,cool,auto,Rapid City,700.5111111111112,700.0,650.0,0.0,False,False,False
4db7c87b3904707da4b878c80e3551b4b2278385,jun,2017,cool,auto,Brookings,719.7441860465117,710.0,650.0,60.0,False,False,False
51e6bafa5298e3366ba871e35aed1d974abe184e,jun,2017,cool,hold,Sioux Falls,718.6787439613527,734.9347826086956,734.9347826086956,19.0,True,False,False
659aaa917beb2054d8a407f0b0e716aff9acb4d4,jun,2017,auto,auto,Sioux Falls,716.1666666666665,715.0,665.0,60.0,False,False,False
659aaa917beb2054d8a407f0b0e716aff9acb4d4,jun,2017,cool,auto,Sioux Falls,714.9513274336282,715.0,665.0,60.0,False,False,False
66fafd5b7131163da637a7660ba442db0a070d92,jun,2017,cool,auto,Sioux Falls,694.340625,700.540625,671.290625,6.0,False,False,False
7a59d7c797f30415b2b2557d368086f59a8bfbf6,jun,2017,auto,auto,Baltic,697.5,692.0,679.5,5.0,False,False,False
7a59d7c797f30415b2b2557d368086f59a8bfbf6,jun,2017,auto,hold,Baltic,687.9496124031008,690.0,630.0,5.0,False,False,False
7a59d7c797f30415b2b2557d368086f59a8bfbf6,jun,2017,cool,auto,Baltic,664.0899357601713,690.5695931477516,682.5481798715202,5.0,False,False,False
7a59d7c797f30415b2b2557d368086f59a8bfbf6,jun,2017,cool,hold,Baltic,682.4248366013072,684.7745098039215,684.7745098039215,5.0,False,False,False
8f56c7dc00276a6b32a52d5ce09b1183ab8f1bd7,jun,2017,cool,hold,Box Elder,694.8,702.0,702.0,10.0,False,False,False
9890e8311a56a9abe9923f5fc2c000c196edf928,jun,2017,auto,auto,Sioux Falls,704.469696969697,730.0,654.5454545454545,25.0,False,False,False
9c7a789c7d1d74537a88db58945540af52b04c0e,jun,2017,auto,auto,Sioux Falls,714.4615384615386,710.1538461538463,680.0,30.0,True,False,True
9c7a789c7d1d74537a88db58945540af52b04c0e,jun,2017,auto,hold,Sioux Falls,727.7333333333332,717.9555555555555,678.7666666666668,30.0,True,False,True
9d3584c550f89f042111eb6704fe1e47e20dc8ea,jun,2017,cool,auto,Mitchell,678.4285714285714,670.0,650.0,15.0,True,False,True
9d3584c550f89f042111eb6704fe1e47e20dc8ea,jun,2017,cool,hold,Mitchell,706.0,766.0,745.0,15.0,True,False,True
a6fd75ad36cfbc196c32e0242e2b1b235a634a21,jun,2017,auto,auto,Sioux Falls,714.7922705314011,720.0,660.0,5.0,False,False,False
ac475e45fec8f2a5c9a5f17f1de8854e57c8738d,jun,2017,cool,hold,Sioux Falls,739.8,730.0,730.0,5.0,False,False,False
ad7b6e90b80dcab9f18c995fe36408f2a12dbc28,jun,2017,cool,auto,Sioux Falls,741.9545454545455,730.0,740.0,10.0,False,False,False
ad7b6e90b80dcab9f18c995fe36408f2a12dbc28,jun,2017,cool,hold,Sioux Falls,737.5068493150685,735.6999347684281,735.7005870841488,10.0,False,False,False
b82f636e91b827f8c3335e14b4784f234c7fa83e,jun,2017,auto,auto,Sioux Falls,759.3021148036254,782.5619335347432,650.0,90.0,False,False,False
ba6e220a85539b203580b1486b6e183220f6488c,jun,2017,auto,auto,Sioux Falls,718.6,765.0,715.0,0.0,False,False,False
c286bb38a8bbe2053013f8899f27ce0e8fe7e2fc,jun,2017,cool,auto,Watertown,724.7054263565891,738.6201550387598,660.4403100775194,16.0,False,False,False
c286bb38a8bbe2053013f8899f27ce0e8fe7e2fc,jun,2017,cool,hold,Watertown,708.9462365591397,708.6021505376344,708.6021505376344,16.0,False,False,False
c3cc30e0e8e9481f56d2d8ccb8875ffd6e58c48d,jun,2017,cool,auto,Rapid City,693.8663366336633,709.3811881188119,693.2821782178218,55.0,False,False,False
c3cc30e0e8e9481f56d2d8ccb8875ffd6e58c48d,jun,2017,cool,hold,Rapid City,689.8556338028169,717.4295774647888,717.4295774647888,55.0,False,False,False
cc7492974b078d6eceba17e49929a139635baebb,jun,2017,cool,auto,Yankton,719.75,721.75,665.25,45.0,False,False,False
cc7492974b078d6eceba17e49929a139635baebb,jun,2017,cool,hold,Yankton,729.2159624413147,728.0657276995305,727.943661971831,45.0,False,False,False
d37e2aadd7774c2112b3d30f1c00556868867274,jun,2017,cool,hold,Vermillion,715.0352941176469,753.7529411764706,750.7882352941176,45.0,False,False,False
d8a5080a26ef033201748f6bb21a14041b3e5089,jun,2017,cool,auto,Sioux Falls,760.1098265895953,756.4219653179191,736.1849710982658,15.0,False,False,False
d8a5080a26ef033201748f6bb21a14041b3e5089,jun,2017,cool,hold,Sioux Falls,766.4444444444445,720.0,720.0,15.0,False,False,False
e5a50f71271de0f30b2f068f1e6e3368ddfec11b,jun,2017,cool,hold,Sioux Falls,758.8358208955223,763.2238805970151,761.5820895522388,5.0,False,False,False
e6dbbaa5309abde52529bb8af3025c5f2fb84ab3,jun,2017,cool,auto,Mitchell,742.9054054054054,740.0,740.0,27.0,False,False,True
e6dbbaa5309abde52529bb8af3025c5f2fb84ab3,jun,2017,cool,hold,Mitchell,732.6531092436975,734.5058823529413,734.5058823529413,27.0,False,False,True
fbb6b3184e085ae4fe5c86bab30afe6a29793469,jun,2017,cool,hold,Mitchell,692.4166666666665,681.0833333333334,680.0,30.0,False,False,False
004e7f286453271cd8b2b9367719102dc96392c2,jun,2018,auto,hold,Elk Point,741.6419753086419,731.9506172839507,679.4320987654321,20.0,False,False,False
011eb806f7782fc048072fabfb035b54f5d71e67,jun,2018,auto,hold,Sioux Falls,735.125,731.0,658.78125,100.0,False,False,False
05b6a87c2c20aa57b357426c9107705c0bd7ec20,jun,2018,cool,auto,Sioux Falls,738.6833333333333,740.0833333333335,699.8666666666667,15.0,True,False,False
05b6a87c2c20aa57b357426c9107705c0bd7ec20,jun,2018,cool,hold,Sioux Falls,737.7307692307692,740.0,700.0,15.0,True,False,False
0968b16b919c5e8b72ff8de3bda124068f7f322d,jun,2018,auto,hold,Sioux Falls,745.7309027777777,752.9166666666665,686.9791666666666,0.0,False,False,False
13794e9c34d4c507a43e319612e223759e0d327f,jun,2018,cool,auto,Brookings,722.3725490196077,727.6029411764706,726.8235294117646,5.0,False,False,False
13794e9c34d4c507a43e319612e223759e0d327f,jun,2018,cool,hold,Brookings,720.544964028777,728.9370503597122,728.726618705036,5.0,False,False,False
15a7bb14eda221a156a3e03592139ccd285d7bf2,jun,2018,auto,auto,Sioux Falls,710.4047619047618,690.0,640.0,5.0,False,False,False
15a7bb14eda221a156a3e03592139ccd285d7bf2,jun,2018,cool,auto,Sioux Falls,684.5233415233415,678.7027027027027,678.7027027027027,5.0,False,False,False
15a7bb14eda221a156a3e03592139ccd285d7bf2,jun,2018,cool,hold,Sioux Falls,714.0,660.0,660.0,5.0,False,False,False
18cd13efb32ea1f3caa01bc30656d0afbe3d1413,jun,2018,cool,auto,Sioux Falls,731.4758560140474,738.1395961369623,728.8683055311677,16.0,False,False,False
18cd13efb32ea1f3caa01bc30656d0afbe3d1413,jun,2018,cool,hold,Sioux Falls,723.7764550264549,727.1587301587301,727.1587301587301,16.0,False,False,False
20f09a9c1d296b532e398fdefb4a44700a36a621,jun,2018,auto,auto,Mitchell,795.9428571428572,790.0,650.0,40.0,False,False,False
2f9a16dd49a7a56c5d2e1747bad9d2569792cc33,jun,2018,auto,auto,Sioux Falls,745.2232558139535,767.0023255813952,650.0,5.0,False,False,False
2f9a16dd49a7a56c5d2e1747bad9d2569792cc33,jun,2018,auto,hold,Sioux Falls,743.5128205128206,731.6153846153846,650.0,5.0,False,False,False
30a50f3df07d56b578fdf38b93291e6860f389ad,jun,2018,auto,auto,Sioux Falls,693.7183098591548,700.0915492957747,645.7676056338029,45.0,False,False,False
30a50f3df07d56b578fdf38b93291e6860f389ad,jun,2018,auto,hold,Sioux Falls,699.640350877193,707.3684210526317,643.6842105263157,45.0,False,False,False
3a6d34c0a5f6664f14043d1ec1f90525eb6a72aa,jun,2018,cool,hold,Rapid City,707.8594164456233,716.5474801061008,716.5474801061008,0.0,False,False,False
3a6d34c0a5f6664f14043d1ec1f90525eb6a72aa,jun,2018,heat,hold,Rapid City,719.90350877193,719.793859649123,719.793859649123,0.0,False,False,False
3cb5cd50805e286cf3cd45001f0c9e54f6fed6c3,jun,2018,cool,auto,Sioux Falls,773.6276595744681,774.468085106383,774.468085106383,20.0,False,False,False
3cb5cd50805e286cf3cd45001f0c9e54f6fed6c3,jun,2018,cool,hold,Sioux Falls,761.0481927710845,770.0843373493976,770.0843373493976,20.0,False,False,False
3ed0e9cb7b0043eaf232cd07b55d33cb67e0debe,jun,2018,cool,auto,Mitchell,690.9545454545455,680.0,680.0,15.0,True,False,True
3ed0e9cb7b0043eaf232cd07b55d33cb67e0debe,jun,2018,cool,hold,Mitchell,700.5263157894735,692.9638157894735,692.6644736842105,15.0,True,False,True
431feca8dbf15f07c25ba7065d5935bf21d4cfd6,jun,2018,auto,hold,Sioux Falls,737.21858216971,750.0531686358754,696.4511278195489,5.0,True,False,False
431feca8dbf15f07c25ba7065d5935bf21d4cfd6,jun,2018,cool,hold,Sioux Falls,733.7514506769826,746.522243713733,741.6382978723404,5.0,True,False,False
442bbae1b4d42fdbfed83178e3a7f95b0e305c58,jun,2018,cool,auto,Sioux Falls,746.8141962421713,779.749478079332,765.6576200417537,75.0,False,False,False
442bbae1b4d42fdbfed83178e3a7f95b0e305c58,jun,2018,cool,hold,Sioux Falls,740.6624040920717,770.3631713554988,767.1867007672635,75.0,False,False,False
45a85784a761b7df6242c82ee3b01c01c9d4b647,jun,2018,cool,hold,Hayti,696.0,680.0,680.0,8.0,True,False,True
4a2f71c8dace61eeb7806b1c4aabd4f7980dc760,jun,2018,cool,auto,Rapid City,697.2082878953108,709.9912758996727,709.9367502726282,0.0,False,False,False
4a2f71c8dace61eeb7806b1c4aabd4f7980dc760,jun,2018,cool,hold,Rapid City,708.3484848484848,682.1818181818181,681.7272727272727,0.0,False,False,False
51e6bafa5298e3366ba871e35aed1d974abe184e,jun,2018,cool,hold,Sioux Falls,712.0282258064516,726.5612903225806,726.5612903225806,19.0,True,False,False
55c8c84126bfbaa3b1f52953f3a6c41ce2e88e8e,jun,2018,cool,auto,Brookings,710.2307692307692,740.0,740.0,30.0,False,False,False
55c8c84126bfbaa3b1f52953f3a6c41ce2e88e8e,jun,2018,cool,hold,Brookings,704.2969696969698,710.0060606060606,709.9636363636363,30.0,False,False,False
66fafd5b7131163da637a7660ba442db0a070d92,jun,2018,cool,auto,Sioux Falls,709.5,720.0,720.0,6.0,False,False,False
670be188eade7b0b203dd0cbe52b8512daf30941,jun,2018,cool,auto,Tea,704.5714285714287,687.5714285714287,671.7142857142858,40.0,True,False,True
670be188eade7b0b203dd0cbe52b8512daf30941,jun,2018,cool,hold,Tea,703.9618800888231,718.5792005921539,718.5792005921539,40.0,True,False,True
769d58e58cf28ed36633f09f0bfe730fccc69040,jun,2018,cool,auto,Sioux Falls,701.3478260869565,701.1304347826087,651.1304347826087,68.0,False,False,False
769d58e58cf28ed36633f09f0bfe730fccc69040,jun,2018,cool,hold,Sioux Falls,707.1666666666665,707.0,707.0,68.0,False,False,False
8930281824f3ef2ac371723900928c198a63c348,jun,2018,cool,auto,Sioux Falls,694.0658119658119,718.2905982905983,718.2905982905983,10.0,False,False,False
8930281824f3ef2ac371723900928c198a63c348,jun,2018,cool,hold,Sioux Falls,696.7427450980392,730.0784313725492,730.0784313725492,10.0,False,False,False
89c72f65d234f95357466f70532bce6def19cc8f,jun,2018,auto,auto,Deadwood,725.125,760.0,680.0,20.0,True,False,True
89c72f65d234f95357466f70532bce6def19cc8f,jun,2018,auto,hold,Deadwood,685.5679910464465,724.5495243424734,634.7660884163403,20.0,True,False,True
8f56c7dc00276a6b32a52d5ce09b1183ab8f1bd7,jun,2018,cool,auto,Box Elder,718.452677122769,730.0,730.0,10.0,False,False,False
90e121dfbbf74b90bdeeba661458add0a7e5b5ba,jun,2018,cool,hold,Sioux Falls,722.25,740.0,740.0,10.0,False,False,False
94f4dbce58d4a11a0ffa9e6290ddfb6e896b39d2,jun,2018,cool,hold,Sioux Falls,731.9375,730.0,730.0,5.0,False,False,False
995ba2f4d2b74e5e9c936ec683b65b980cb10a3b,jun,2018,auto,hold,Dakota Dunes,760.7146739130435,750.4891304347825,660.0,27.0,False,False,False
9c7a789c7d1d74537a88db58945540af52b04c0e,jun,2018,cool,auto,Sioux Falls,737.2083333333335,780.0,750.0,30.0,True,False,True
9c7a789c7d1d74537a88db58945540af52b04c0e,jun,2018,cool,hold,Sioux Falls,731.0,730.0,730.0,30.0,True,False,True
